Name	ztf name	Obj. Type	ra/dec	Redshift	Max spec	PESSTO obj?	Sources	Comments	Disc. Internal Name	Discovery Date (UT)
	ZTF21aaampui	SN Ia	08:19:09.69 +24:46:56.90	0.0155			ZTF	 LT	ZTF21aaampui	2021-01-03T08:19:50.451358
2021J	ZTF21aaabvit	SN Ia	12:26:27.03 +31:13:20.48	0.0024			ZTF		ZTF21aaabvit	2021-01-01T12:26:35.874647
2021pc	ZTF21aabpszb	SN Ia	01:14:04.82 -01:44:24.44	0.0163			ZTF		ZTF21aabpszb	2021-01-07T03:59:26.974131
2021jj		SN Ia	13:17:24.35 -16:27:34.93	0.02			ATLAS		ATLAS21abw	
2021ads		SN Ia	13:35:07.53 -33:28:59.25	0.02			ATLAS	max no ZTF	ATLAS21brw	
2021xn	ZTF21aacvhsc	SN Ia	01:37:50.91 +53:39:51.92	0.017			ZTF	caught rising	ZTF21aacvhsc	2021-01-10T04:03:37.278112
2021bmx		SN Ia	10:14:50.25 -38:11:29.83	0.0146					ATLAS21dkt	
2021cdo	ZTF21aaihala		16:30:16.5696 -04:14:18.2749	0.019	y				ZTF21aaihala	2021-02-07T13:07:05.483388
2019wzc	ZTF19acnskyy	AGN	13:35:19.9443 +07:28:07.9925	0.023929				NOT Ia	ZTF19acnskyy	2020-11-16T20:05:24.629974
2019gsc	ZTF19aawhlcn		14:37:45.2682 +52:43:36.4919	0.011288				Duplicate	ZTF19aawhlcn	
2021K	ZTF21aaabvjk		13:47:10.6992 +34:05:21.1549	0.016385					ZTF21aaabvjk	2021-01-01T13:29:11.216996
2021bsf	ZTF21aagsihi		12:06:04.0371 +20:32:13.2612	0.0236	y		ZTF	 LT	ZTF21aagsihi	2021-02-03T10:16:56.705725
2021bbz	ZTF21aagqcfs		11:45:23.592 +20:19:28.0564	0.023	y				ZTF21aagqcfs	2021-02-03T08:24:53.843734
2021apf	ZTF21aafdxca		18:04:22.1836 +07:17:00.9737	0.006531				old object	ZTF21aafdxca	2021-01-16T13:33:38.423919
2021bwq	ZTF21aahdqrg		11:28:17.0755 -12:53:17.5747	0.022015	y				ZTF21aahdqrg	2021-02-05T08:44:42.186983
2021bkw	ZTF21aagsypp		14:21:13.615 +20:42:54.04	0.018201					ZTF21aagsypp	2021-02-03T10:45:41.150942
2021biz	ZTF21aagqcnl		12:16:34.7443 +33:31:35.6336	0.021515	y		LT		ZTF21aagqcnl	2021-02-03T08:25:41.237531
2021bls	ZTF21aagtqug	SN Ia-91bg	16:43:20.7049 +61:35:41.4218	0.019247				post max	ZTF21aagtqug	2021-02-04T11:36:03.190286
2020abyx	ZTF21aagyxgr		13:32:07.1653 -22:57:17.5576	0.0168				2020 object	ZTF21aagyxgr	2021-02-04T12:44:25.302319
2021dov	ZTF21aamokak		08:56:18.7134 -00:26:31.8041	0.012797	y	y			ZTF21aamokak	2021-02-22T06:46:03.187933
2021dsz	ZTF21aamsiqk		04:22:53.1417 +36:37:17.3762	0.01					ZTF21aamsiqk	2021-02-23T06:03:04.016517
2021dct	ZTF21aambvzd		03:08:14.4934 +38:22:38.8085	0.016011	y				ZTF21aambvzd	2021-02-20T05:32:35.201455
2021dsb	ZTF21aamucom	91T-like	10:35:18.7927 -13:00:19.6225	0.025	y				ZTF21aamucom	2021-02-23T08:15:31.995649
2020adqy	ZTF20adadshh		11:01:51.6609 +75:12:01.9703	0.024682					ZTF20adadshh	2020-12-27T06:23:14.021643
2020aeps	ZTF20adagenq		12:08:47.3939 +32:32:07.4288	0.024441					ZTF20adagenq	2021-01-02T09:27:30.047870
2021dch	ZTF21aalinof		13:05:23.7669 +29:30:34.5917	0.020165					ZTF21aalinof	2021-02-17T09:04:52.785434
2021dpu	ZTF21aamnngb		02:48:16.1566 +50:47:55.9781	0.016355	y				ZTF21aamnngb	2021-02-22T03:34:11.413244
2020nvb	ZTF21aamwpdf		12:28:58.7966 +03:34:22.0933	0.002942					ZTF21aamwpdf	2021-02-23T10:37:24.515330
2021fxy	ZTF21aaprfqv		13:13:01.5777 -19:30:45.193	0.009393		y			ZTF21aaprfqv	2021-03-18T07:14:04.225915
2021gtp	ZTF21aapyiku		08:48:50.2561 +29:52:13.7136	0.019685					ZTF21aapyiku	2021-03-21T05:36:29.444826
2021ell	ZTF21aanswls		19:54:20.6626 +01:35:05.829	0.025					ZTF21aanswls	2021-03-01T13:42:23.780966
2021hiz	ZTF21aaqytjr		12:25:41.6737 +07:13:42.2432	0.003319	y				ZTF21aaqytjr	2021-03-30T06:59:47.102337
2021hpr	ZTF21aarqkes		10:16:38.6295 +73:24:01.8202	0.009346	y				ZTF21aarqkes	2021-04-02T09:27:12.670310
2021gmg	ZTF21aaqftuq		22:19:22.7512 +32:57:28.4008	0.012128969342354	y				ZTF21aaqftuq	2021-03-20T13:45:09.918128
2021jag	ZTF21aatyplr		12:06:44.9725 +67:09:53.7844	0.008382	y				ZTF21aatyplr	2021-04-10T07:31:20.401840
2021jai	ZTF21aaunadg		18:35:42.5208 +51:07:19.8462	0.02	y				ZTF21aaunadg	2021-04-11T12:54:14.507699
2021ixi	ZTF21aauapli		17:31:15.7283 +05:26:22.3645	0.016	y				ZTF21aauapli	2021-04-10T10:23:41.527834
2021jvs	ZTF21aavqphe		14:57:44.7967 +06:37:27.7154	0.02147					ZTF21aavqphe	2021-04-15T17:05:19.602720
2021fpm	ZTF21aavutkm		20:17:06.9258 -12:05:40.5658	0.018606					ZTF21aavutkm	2021-04-19T14:53:44.748237
2021gmh	ZTF21aaqftpz		22:34:33.3838 +34:00:18.9551	0.025					ZTF21aaqftpz	2021-03-20T13:54:00.834075
